450 80820
137 323 5.111608382998358
139 323 7.648044948457683
139 148 7.66347002132892
148 332 4.525796961902561
292 323 9.95823987047738
148 266 9.044182573337423
78 266 9.331777422567614
20 332 8.408602929927692
82 266 4.88757429426658
51 82 2.905168471903074
51 429 1.0751068866162496
141 429 4.136533392158346
71 139 4.767640763866418
120 266 2.033278680140379
20 106 5.844231586583787
51 90 7.357206331614561
148 200 2.3663710108924634
82 213 1.8281001677972075
59 82 9.22474764912537
120 161 6.468902522988973
148 206 3.396462308410431
161 337 8.35378493338221
323 363 4.730779292684131
136 200 8.137595129451384
213 350 4.224222917461461
20 341 9.793678895741479
331 363 5.334842018731141
51 238 9.22627548368985
71 215 9.205933355393967
215 385 3.006900440408989
194 206 2.085297716590921
136 155 5.573791823129561
262 429 4.965603542662167
51 291 6.158665064429881
91 385 9.93715762930261
261 262 5.720592985109122
141 343 7.844003664841969
197 331 4.822798665382086
302 363 3.966879364445718
337 413 9.485291741332345
148 272 4.865730223293679
262 280 6.950060902459253
216 332 2.701766273623969
291 372 6.269223669919768
148 313 6.255272046091054
272 438 1.1729506553133096
294 302 4.954922313373693
332 371 6.744789129325408
83 323 1.5308417872462634
161 181 6.897829807394101
206 334 5.086704997017492
65 292 8.779842658928732
58 194 3.834494360780875
161 388 1.53078783398589
91 165 1.1788262988395375
160 261 2.8787487966749694
87 332 6.5340391617455245
87 264 4.5081554372583215
161 387 5.541227654259816
87 156 3.6467911289984394
81 106 4.486540252820126
403 413 9.343667828829172
191 291 7.448051836956157
106 279 8.251934273268464
74 388 7.588380801170069
279 446 3.3613561765198936
150 262 9.375396374618848
65 282 4.27778352394723
200 236 7.2672276255117065
324 363 5.579817008831409
328 388 9.049398271791052
106 278 1.7048327537233816
81 359 4.178576925006908
106 257 5.2526490517532745
206 439 9.858244021436473
70 181 4.869259436075275
208 213 6.974656145325249
195 302 1.3703786172181833
49 150 8.195686156977942
334 349 3.9467079464090857
285 349 1.3591509803171162
141 322 7.2017562684427
172 213 8.081026031450964
156 198 4.912335801795533
42 156 1.9790454594958535
238 427 2.1501114362840164
96 332 7.257837551666876
83 365 4.874062871213878
266 290 5.5968216953941905
84 136 8.61597034867852
248 261 9.489986954860562
148 342 5.490736776838558
172 314 6.225365048136258
1 285 4.334394369910926
350 351 1.7818947289246223
166 337 3.4810854814253527
24 166 4.163973041902575
171 172 3.3086283319324994
305 385 8.201566093210758
86 305 1.9785524735764775
