450 101025
141 381 9.056918746528225
141 304 2.4644682261815696
141 232 4.6278704610758155
304 349 1.9306423079278874
232 260 1.4325940171003295
141 373 4.702209875033871
325 349 2.3488653233201733
286 349 3.2811165557850397
32 260 9.911561499920335
304 315 4.425008252264812
286 387 8.277770407355074
122 325 9.869609401104444
304 323 8.198155226591624
32 50 1.5453066308381227
260 441 8.762431510930863
50 95 2.9886527813044803
315 369 8.139584114248368
326 349 2.7412341858032003
286 435 3.8023848424416613
305 435 2.50401803551022
290 373 8.976406064876794
287 441 6.183457044146479
120 141 8.034756475329832
21 323 6.194357648772925
252 325 4.308036715770376
118 369 5.894689151303889
83 287 1.0348140139574167
21 22 2.7638080835052086
83 206 4.8599101774601525
351 387 3.9321595145011514
227 315 7.05169284011278
32 416 7.718838936147572
83 265 5.862253822123671
416 447 9.215892248939095
206 341 5.102649501145427
21 296 3.4960875161110128
19 351 9.444364053288632
83 314 1.656536327871861
275 287 4.303884218889453
326 379 5.9516915766621405
50 174 6.412935668111299
305 420 7.936986958137138
120 313 1.1921838789378598
108 141 4.5758736399593865
287 410 1.3090279922216186
258 265 5.996020279735234
108 147 1.2330587346392319
215 420 3.3805561081195132
325 442 9.752676272174575
50 148 5.414241883041144
56 206 9.405919914477991
0 305 9.032361911070618
314 358 5.0709370415644255
127 206 5.0643210773355145
22 193 9.300785636597833
213 258 4.184938116824039
126 286 2.7638192590060773
127 391 9.011202474572405
187 305 2.332897065841574
260 398 3.7894024777449458
120 202 1.5117565317538921
37 120 7.9512274581017
260 436 4.569048369779045
179 325 3.2434428666298474
60 296 8.104673074396898
95 217 3.8912647420816886
315 415 9.858865987330958
90 436 6.802420662359139
350 436 3.432708318645946
135 215 5.7303172096029495
198 202 9.338272020834761
252 430 9.669643699361805
178 350 8.935964301730188
71 135 9.779279746846273
66 325 4.10629518892126
390 447 1.5887479703022522
127 282 2.2505021670011365
339 390 8.814584477003963
314 343 9.213562250689984
275 427 6.700673803511269
133 435 2.175909392213388
210 410 9.349984507818439
83 293 1.3612298811248067
69 358 5.174509022760896
56 397 9.551416986402337
315 382 8.285679572824908
271 397 7.321328871686768
287 425 6.462045532003518
133 149 8.502958330395987
23 179 7.9345358339529
89 187 1.050897973725902
48 210 6.59443229962903
53 202 6.763679459845986
128 282 6.264151219465536
170 410 5.83580698146263
268 313 2.879314483908838
5 447 3.7088115064521063
21 240 5.996969155907626
118 395 7.214879087895134
253 436 6.718929688107906
13 174 3.2788816070285676
59 427 4.12545421897628
303 410 6.9447204387904735
7 427 9.224961487369532
174 234 4.244556853771289
13 169 2.968068803124269
387 404 1.4639263094097275
170 284 6.80134726056167
217 394 3.1588823799092784
20 215 4.243329518583861
164 260 9.482313081937718
217 272 8.087296578247688
51 252 4.502600968667508
397 407 8.661038581592273
62 415 1.7933214264734576
165 169 9.922514930274474
37 262 1.3524904895689915
89 150 7.98137144005451
153 268 9.035934608966238
142 341 2.3410889462248448
106 373 5.0286698994514625
188 240 3.6087484127740255
108 318 9.754019766871792
60 403 9.46574962337601
283 343 8.222983423343349
333 358 9.509840024251917
128 357 7.746543013734359
106 322 8.67947621779774
286 327 5.918434997275998
207 395 1.959885811739726
91 135 9.113911317016594
287 408 9.191972723191542
82 398 2.4271813926820567
333 367 8.67930797116396
66 291 2.978965074548717
127 263 3.654678393125607
108 421 4.948327434896073
284 288 5.326146945478506
337 369 8.533580645681077
247 339 3.9229028722540336
55 420 5.072734805995417
127 161 2.3597199261864925
20 111 4.94271655532148
17 343 1.492814452954669
14 141 5.061962191597878
56 221 8.071362398093786
252 393 7.428029942479506
93 234 2.0425033213515658
179 449 8.195945287826639
50 195 1.8716780303593574
35 265 8.091697300751978
123 283 9.789996431263782
123 392 2.684329556542996
155 325 1.4516608938691271
2 14 7.378453820789658
174 248 2.3306604778207354
228 315 6.072729114058904
177 291 3.368285398201351
221 223 9.100025995161905
222 247 9.748744665406242
286 399 4.917197235427908
68 392 8.899875085295776
108 185 5.388828864261833
31 323 6.737732913336758
34 118 4.500124392742954
99 305 7.476862961145221
389 395 7.321442225234852
103 148 8.75111771722393
233 322 6.984226114567328
77 349 2.8180179612169214
258 377 7.460815199604262
144 337 3.131473512717415
206 388 4.462990407145132
18 343 8.386339695540276
51 256 9.85230225466915
210 340 1.4876394923249041
76 449 2.437920759874973
122 143 4.851472321315137
79 404 6.507858322527264
78 127 4.387220665563564
103 230 6.197581762329467
32 214 6.2014629168552755
86 314 8.534792951298902
289 393 8.59231398470138
72 415 3.257101390338096
195 368 4.101138387708005
85 161 4.583051313993796
48 270 8.877286189856312
225 382 8.948489926736025
33 447 5.946194530521296
50 54 9.871500443451675
120 211 7.330397850073948
100 170 2.3082454984029086
224 287 9.337185800443825
105 234 5.901200709503981
254 283 9.115028446442505
387 402 9.6065530496657
96 337 9.573247802030409
37 307 5.930249938642114
58 282 4.816558838627847
1 340 5.386115150361428
44 150 2.2330646308735203
167 398 3.7731167194644106
391 401 2.7989041127161
96 432 5.720411107895278
311 432 2.700469191851704
20 41 2.0110498744061016
268 365 1.545789812981198
218 283 4.204077385900935
89 194 8.779523298100099
74 99 2.0560083343448277
102 240 8.00366369890591
234 274 8.167440401137702
1 444 2.0392225198854597
420 433 9.639098406440487
10 170 9.457419671368397
196 337 7.612472357441507
33 353 4.227298471867117
81 210 7.840785889238566
77 163 4.934679729783397
58 312 6.383825250457213
186 286 6.05827015606679
296 378 9.307102940271774
84 240 1.8500556325654354
155 298 8.655007841754419
122 191 9.911634443360803
32 115 6.731405644037654
397 445 5.683075362479946
126 413 5.772800593973788
62 396 8.62248573430318
217 300 8.356165904701484
92 99 7.150784910555949
253 400 4.167613222898926
327 439 2.892447614366632
7 73 3.3060305322099794
14 29 6.6713969236036395
154 186 7.3162223113322264
31 116 6.789303909932127
195 280 9.260287087102167
15 207 5.727102856502194
6 263 3.4146239020822775
10 246 5.410150625279592
209 373 3.262305246341111
168 293 2.3887010317212214
244 289 2.6390708861308774
84 175 1.5500419223342892
91 362 1.346568036662228
283 375 8.694694498671755
29 250 2.4013520100439
213 366 9.190233066391045
72 281 2.9642560404851666
293 309 5.612391221177721
9 213 1.5052558801576175
71 204 4.552922195278626
150 443 5.622149805223108
209 261 7.019383298853565
61 366 9.455531273085995
342 349 1.9602614243382503
212 349 2.387741580324079
30 246 5.88165774842491
312 321 7.742853021257725
109 265 4.912693319597986
82 182 4.866375201965788
340 345 1.5328080915526603
251 377 7.398840050883225
173 388 6.842934956984778
142 299 3.9632834152820138
301 388 2.424886578373663
232 294 2.2856026784685497
220 368 2.421630902039575
245 299 6.753356968391438
20 152 3.034118908415584
69 306 6.7779518410418556
