,connected,unique_weights,vertices,edges,path
0,True,True,400,31920,graphs/random/random_400_0.4.txt
1,True,True,500,499,graphs/random/random_500_0.txt
2,True,True,800,191760,graphs/random/random_800_0.6.txt
3,True,True,1000,399600,graphs/random/random_1000_0.8.txt
4,True,True,500,124750,graphs/random/random_500_1.txt
5,True,True,800,255680,graphs/random/random_800_0.8.txt
6,True,True,500,49900,graphs/random/random_500_0.4.txt
7,True,True,400,63840,graphs/random/random_400_0.8.txt
8,True,True,300,44850,graphs/random/random_300_1.txt
9,True,True,800,319600,graphs/random/random_800_1.txt
10,True,True,300,17940,graphs/random/random_300_0.4.txt
11,True,True,100,2970,graphs/random/random_100_0.6.txt
12,True,True,1000,999,graphs/random/random_1000_0.txt
13,True,True,1000,299700,graphs/random/random_1000_0.6.txt
14,True,True,200,199,graphs/random/random_200_0.txt
15,True,True,600,107820,graphs/random/random_600_0.6.txt
16,True,True,900,323640,graphs/random/random_900_0.8.txt
17,True,True,300,26910,graphs/random/random_300_0.6.txt
18,True,True,600,599,graphs/random/random_600_0.txt
19,True,True,300,8970,graphs/random/random_300_0.2.txt
20,True,True,700,699,graphs/random/random_700_0.txt
21,True,True,500,74850,graphs/random/random_500_0.6.txt
22,True,True,800,127840,graphs/random/random_800_0.4.txt
23,True,True,700,146790,graphs/random/random_700_0.6.txt
24,True,True,600,179700,graphs/random/random_600_1.txt
25,True,True,300,299,graphs/random/random_300_0.txt
26,True,True,400,47880,graphs/random/random_400_0.6.txt
27,True,True,1000,199800,graphs/random/random_1000_0.4.txt
28,True,True,200,15920,graphs/random/random_200_0.8.txt
29,True,True,1000,99900,graphs/random/random_1000_0.2.txt
30,True,True,800,799,graphs/random/random_800_0.txt
31,True,True,400,79800,graphs/random/random_400_1.txt
32,True,True,200,7960,graphs/random/random_200_0.4.txt
33,True,True,800,63920,graphs/random/random_800_0.2.txt
34,True,True,100,4950,graphs/random/random_100_1.txt
35,True,True,700,48930,graphs/random/random_700_0.2.txt
36,True,True,1000,499500,graphs/random/random_1000_1.txt
37,True,True,100,3960,graphs/random/random_100_0.8.txt
38,True,True,700,195720,graphs/random/random_700_0.8.txt
39,True,True,400,399,graphs/random/random_400_0.txt
40,True,True,600,35940,graphs/random/random_600_0.2.txt
41,True,True,200,11940,graphs/random/random_200_0.6.txt
42,True,True,900,80910,graphs/random/random_900_0.2.txt
43,True,True,300,35880,graphs/random/random_300_0.8.txt
44,True,True,900,161820,graphs/random/random_900_0.4.txt
45,True,True,900,899,graphs/random/random_900_0.txt
46,True,True,200,19900,graphs/random/random_200_1.txt
47,True,True,100,990,graphs/random/random_100_0.2.txt
48,True,True,700,244650,graphs/random/random_700_1.txt
49,True,True,600,71880,graphs/random/random_600_0.4.txt
50,True,True,400,15960,graphs/random/random_400_0.2.txt
51,True,True,500,24950,graphs/random/random_500_0.2.txt
52,True,True,600,143760,graphs/random/random_600_0.8.txt
53,True,True,100,99,graphs/random/random_100_0.txt
54,True,True,900,242730,graphs/random/random_900_0.6.txt
55,True,True,700,97860,graphs/random/random_700_0.4.txt
56,True,True,100,1980,graphs/random/random_100_0.4.txt
57,True,True,200,3980,graphs/random/random_200_0.2.txt
58,True,True,500,99800,graphs/random/random_500_0.8.txt
59,True,True,900,404550,graphs/random/random_900_1.txt
